,Dataset,QuaMethod,Classifier,QFY,MA,KFMA,best_method
0,global_covid19_tweets,DyS,vader,0.018204072402809215,0.030013505893861737,0.015592120872626403,KFMA
1,global_covid19_tweets,DyS,amansolanki/autonlp-Tweet-Sentiment-Extraction-20114061,0.05897507218620347,0.046488279483645596,0.04983020423113515,MA
2,global_covid19_tweets,ACC,vader,0.009494204539028163,0.027958872467456312,0.008694345015077695,KFMA
3,global_covid19_tweets,ACC,amansolanki/autonlp-Tweet-Sentiment-Extraction-20114061,0.06399694028403129,0.04890211612925693,0.04828144587695405,KFMA
4,global_covid19_tweets,GPAC,vader,0.030983945305395104,0.035917047635075326,0.027967777976016676,KFMA
5,global_covid19_tweets,GPAC,amansolanki/autonlp-Tweet-Sentiment-Extraction-20114061,0.07296820531801974,0.06373117093212328,0.06087341007837869,KFMA
6,global_covid19_tweets,EDy,vader,0.023552412754113575,0.032507437750020025,0.020834768909186594,KFMA
7,global_covid19_tweets,EDy,amansolanki/autonlp-Tweet-Sentiment-Extraction-20114061,0.0620289370817534,0.052955809134535806,0.05018442487150436,KFMA
8,nepali_dataset_eng,DyS,vader,0.18577012664099032,0.13497521406544227,0.13536211209166335,MA
9,nepali_dataset_eng,DyS,amansolanki/autonlp-Tweet-Sentiment-Extraction-20114061,0.17117030403550193,0.16170790705523228,0.16443465874587004,MA
10,nepali_dataset_eng,ACC,vader,0.18234725135571897,0.15047363770840927,0.14728202664548865,KFMA
11,nepali_dataset_eng,ACC,amansolanki/autonlp-Tweet-Sentiment-Extraction-20114061,0.18277906464084737,0.15462683801361796,0.16087293494845636,MA
12,nepali_dataset_eng,GPAC,vader,0.20745763857740657,0.16719383553755357,0.16401414832733566,KFMA
13,nepali_dataset_eng,GPAC,amansolanki/autonlp-Tweet-Sentiment-Extraction-20114061,0.25285444519968336,0.24336896813027525,0.24422828400272353,MA
14,nepali_dataset_eng,EDy,vader,0.19206850522804259,0.15493682094952296,0.15266937024832533,KFMA
15,nepali_dataset_eng,EDy,amansolanki/autonlp-Tweet-Sentiment-Extraction-20114061,0.25753522854793426,0.2486197523300508,0.24994457267799158,MA
16,Apple-Twitter-Sentiment-DFE,DyS,vader,0.1705653648679837,0.12147954097021693,0.11280162070634343,KFMA
17,Apple-Twitter-Sentiment-DFE,DyS,amansolanki/autonlp-Tweet-Sentiment-Extraction-20114061,0.12892503001933958,0.09986755773445277,0.0929312283777192,KFMA
18,Apple-Twitter-Sentiment-DFE,ACC,vader,0.19675781067778988,0.16884640546616927,0.1669599906813052,KFMA
19,Apple-Twitter-Sentiment-DFE,ACC,amansolanki/autonlp-Tweet-Sentiment-Extraction-20114061,0.11869080456824552,0.09991279412775969,0.09349061894904627,KFMA
20,Apple-Twitter-Sentiment-DFE,GPAC,vader,0.15176028805455893,0.13343681994599751,0.125360141626935,KFMA
21,Apple-Twitter-Sentiment-DFE,GPAC,amansolanki/autonlp-Tweet-Sentiment-Extraction-20114061,0.11343022647339114,0.10178227308507012,0.09747177695979595,KFMA
22,Apple-Twitter-Sentiment-DFE,EDy,vader,0.15377911317316076,0.13402864380897903,0.12693249713973562,KFMA
23,Apple-Twitter-Sentiment-DFE,EDy,amansolanki/autonlp-Tweet-Sentiment-Extraction-20114061,0.11457126092488952,0.10317223564605424,0.09860899217667461,KFMA
